bvid,has_stat_snapshot,has_comment_snapshot
BV1EcDLBvEbJ,True,True
BV1EcDfBsETa,True,True
BV1EcXDBgEoN,True,True
BV1EcXUBaEKD,True,True
BV1EcXUBaEbX,True,True
BV1EcXjBGEe9,True,True
BV1EcXjBGEnN,True,True
BV1EcXjBgErD,True,True
BV1Ed9MBxEBS,True,True
BV1EdDgBpE1A,True,True
BV1EdXoBdE9n,True,True
BV1Ee9EBnE8N,True,True
BV1Ee9EBnECD,True,True
BV1Ee9EBnEG7,True,True
BV1EeQPBTELD,True,True
BV1EeXGBAE5n,True,True
BV1EeXGBAEiJ,True,True
BV1EeXyBpEun,True,True
BV1Ef9MBWEFh,True,True
BV1EfXLBCEQa,True,True
BV1EfXfBaEgr,True,True
BV1EfXfBaEh4,True,True
BV1Eg9LBgEnC,True,True
BV1Eg9PB6EwM,True,True
BV1EgXaBnEbJ,True,True
BV1EgwvznE8T,True,True
BV1Eh9jBCEFD,True,True
BV1EhDuBDE4p,True,True
BV1EhSdB5EMP,True,True
BV1EhXyBsEsS,True,True
BV1EiDaB1ETe,True,True
BV1EiDeBsEJo,True,True
BV1EiQKBCEPG,True,True
BV1EiX5BzERt,True,True
BV1EiXZBbE7T,True,True
BV1EjDWB4Efs,True,True
BV1EjDYBEE5i,True,True
BV1EjDYBEEWM,True,True
BV1EjSSBbE7K,True,True
BV1EjSSBbEoQ,True,True
BV1EjXPBkEBw,True,True
BV1EjXPBkEyp,True,True
BV1EkXNByEkK,True,True
BV1EkXUBYEE8,True,True
BV1EkXUBYETd,True,True
BV1EkXjBVE52,True,True
BV1EkXjBVEFX,True,True
BV1EkXjBVERe,True,True
BV1EkXjBVETm,True,True
BV1EkXjBVEZg,True,True
BV1EmD6BgEeA,True,True
BV1EmDKBGEH9,True,True
BV1EmDKBGEKw,True,True
BV1EnDZBQEGf,True,True
BV1EnDZBXEDc,True,True
BV1EnDvBWELE,True,True
BV1EnDvBWEjy,True,True
BV1EnDvBWEtU,True,True
BV1EnQFB8ECc,True,True
BV1EnXKBmE2Z,True,True
BV1EnXKBmE4U,True,True
BV1EnXKBmEqV,True,True
BV1EnXKBmEqz,True,True
BV1EoSSBwEmB,True,True
BV1EoXVBTEC2,True,True
BV1EpXKBjE91,True,True
BV1EpXKBjEK5,True,True
BV1EpXKBjETc,True,True
BV1EpXKBjEWD,True,True
BV1EpXKBjEu9,True,True
BV1EpXLBME4C,True,True
BV1EpXLBMEw7,True,True
BV1EpXbB1E2C,True,True
BV1EpXbB1EZ9,True,True
BV1EpXbB1EaM,True,True
BV1EpXbB1EsL,True,True
BV1Eq9uBtEy5,True,True
BV1EqAGz4ETc,True,True
BV1EqD3BsEHL,True,True
BV1EqDeBXEXv,True,True
BV1EqQMBDEF2,True,True
BV1ErDiBZEa8,True,True
BV1ErDiBZEdB,True,True
BV1ErX5BKEFB,True,True
BV1ErX5BKEHz,True,True
BV1ErXNBLEzG,True,True
BV1ErXUBPECV,True,True
BV1ErXUBPESK,True,True
BV1ErXUBPEbA,True,True
BV1ErXUBPEfR,True,True
BV1EsXMBXEHn,True,True
BV1EsXMBXEs8,True,True
BV1EsXbB5ERk,True,True
BV1Et9jB2EJ5,True,True
BV1EtXMBDE5t,True,True
BV1EtXMBDEFL,True,True
BV1EtXMBDEQ8,True,True
BV1EtXMBDESD,True,True
BV1EtXMBDEXs,True,True
BV1EtXMBDEYz,True,True
