bvid,has_stat_snapshot,has_comment_snapshot
BV1WLXkBoEUn,True,True
BV1WMPkzQEyU,True,True
BV1WMXLBmELi,True,True
BV1WMXLBmEso,True,True
BV1WMXfBqEff,True,True
BV1WN9JBFE9p,True,True
BV1WN9JBFEzf,True,True
BV1WN9MB8E2E,True,True
BV1WN9MB8EBW,True,True
BV1WNA3z8EoP,True,True
BV1WNX1BwE2P,True,True
BV1WNX3BPEPz,True,True
BV1WP9MBcEGk,True,True
BV1WPXeBAEBY,True,True
BV1WPXeBAESW,True,True
BV1WPXeBAEow,True,True
BV1WQXKB4EZv,True,True
BV1WQXKB4ErS,True,True
BV1WQXLBEEsj,True,True
BV1WQXbBREm7,True,True
BV1WQXbBREv2,True,True
BV1WR9GBkEbp,True,True
BV1WRDNBUEsT,True,True
BV1WRX6BpELW,True,True
BV1WRXKBsECk,True,True
BV1WRXKBsEQD,True,True
BV1WRXKBsEmv,True,True
BV1WRXKBsErJ,True,True
BV1WRXKBsExV,True,True
BV1WRXKBsEyN,True,True
BV1WRXbBXEQD,True,True
BV1WRXbBXESR,True,True
BV1WRXbBXEx4,True,True
BV1WS9gBMEDy,True,True
BV1WSXLBSEN2,True,True
BV1WSXfBBEVa,True,True
BV1WT9JBZEcu,True,True
BV1WTXLBEE8T,True,True
BV1WTXLBEEBs,True,True
BV1WTXLBEEdF,True,True
BV1WTXLBEEdT,True,True
BV1WTXPBUE7w,True,True
BV1WTXPBUEEF,True,True
BV1WTXPBUEKB,True,True
BV1WTXVB6Ei2,True,True
BV1WTXVB6EwN,True,True
BV1WUD5BCEyv,True,True
BV1WUXPBDEAm,True,True
BV1WUXPBDExt,True,True
BV1WUXVBkE77,True,True
BV1WUXfBuEuh,True,True
BV1WVXKBpE2t,True,True
BV1WVXKBpEWR,True,True
BV1WVXKBpEXS,True,True
BV1WVXKBpEbT,True,True
BV1WVXKBpEda,True,True
BV1WVXKBpEpW,True,True
BV1WWDuBxEcB,True,True
BV1WWDuBxEjp,True,True
BV1WX9gBKEnC,True,True
BV1WXX4BjEBG,True,True
BV1WXXKBdEGc,True,True
BV1WXXKBdEga,True,True
BV1WXXKBdEtt,True,True
BV1WXXKBdExV,True,True
BV1WYXDB7EDB,True,True
BV1WYXDB7EEJ,True,True
BV1WYXDB7EJK,True,True
BV1WYXDB7EKk,True,True
BV1WYXDB7EpD,True,True
BV1WYXDBEEvv,True,True
BV1WYXjBJEGA,True,True
BV1WYXjBJEJj,True,True
BV1WYXjBJEPE,True,True
BV1WYXjBJEon,True,True
BV1WYXjBJEvQ,True,True
BV1WYXjBJEyR,True,True
BV1WYXjBnEFz,True,True
BV1Wa9pBMEAr,True,True
BV1WaDVBiELw,True,True
BV1WaXNBHEmx,True,True
BV1WaXUBgE8F,True,True
BV1WaXUBgENg,True,True
BV1WaXUBgETw,True,True
BV1WbQ6BjE7H,True,True
BV1WbX5B5ERW,True,True
BV1WbX5B5EhP,True,True
BV1WbX5B5Eqh,True,True
BV1WbX5B5EtZ,True,True
BV1WbX5B5Exx,True,True
BV1WbXUBGENM,True,True
BV1WbXUBGEhi,True,True
BV1WbXZBPE7S,True,True
BV1WcXeBNEV8,True,True
BV1WdDTB9EzG,True,True
BV1WdX6BQE3H,True,True
BV1WdXKB9Ecm,True,True
BV1WdXQBHE3o,True,True
BV1WdXQBHEjF,True,True
BV1WeXDB2Eah,True,True
